"Dataset","Convergence","k_wl","Max Accuracy"
"ENZYMES","false","0","0.8133333325386047"
"ENZYMES","false","1","1"
"ENZYMES","false","2","1"
"ENZYMES","false","3","1"
"ENZYMES","false","4","1"
"ENZYMES","false","5","1"
"PROTEINS","false","0","0.9191374778747559"
"PROTEINS","false","1","0.9973045587539673"
"PROTEINS","false","2","0.9973045587539673"
"PROTEINS","false","3","0.9973045587539673"
"PROTEINS","false","4","0.9973045587539673"
"PROTEINS","false","5","0.9973045587539673"
"IMDB-Binary","false","0","0.6060000061988831"
"IMDB-Binary","false","1","0.8859999775886536"
"IMDB-Binary","false","2","0.8859999775886536"
"IMDB-Binary","false","3","0.8859999775886536"
"IMDB-Binary","false","4","0.8859999775886536"
"IMDB-Binary","false","5","0.8859999775886536"
"IMDB-Multi","false","0","0.4413333237171173"
"IMDB-Multi","false","1","0.6326666474342346"
"IMDB-Multi","false","2","0.6326666474342346"
"IMDB-Multi","false","3","0.6326666474342346"
"IMDB-Multi","false","4","0.6326666474342346"
"IMDB-Multi","false","5","0.6326666474342346"
"NCI1","false","0","0.9133819937705994"
"NCI1","false","1","0.9953771233558655"
"NCI1","false","2","0.9980535507202148"
"NCI1","false","3","0.998296856880188"
"NCI1","false","4","0.998296856880188"
"NCI1","false","5","0.998296856880188"